Score out of 10,Pitch,Comments
4,"1. Lightning, Both Times · His first wife fell from a cliff path, his second drowned in the bath, and the grief group where he met them both has just introduced him to a third.",How did he meet his 1st wife at a grief group?
6.5,"2. The Confession Nobody Checked · A man has spent nine years in prison for drowning his roommate, and his mother has finally admitted why his confession, word for word, matches somebody else's diary.",Maybe a seed here for later episode
2,"3. Something Borrowed · The bride's dress was still on the church steps when they pulled her from the tide, and the wedding went ahead a year later: same groom, same ring, and her maid of honour.","""The bride's dress was still on the church steps when they pulled her from the tide"" - what does dress on the church steps mean??"
1,"4. The Quietest Street · Nobody on the street heard the young mechanic die in his driveway, though every porch camera on the road was switched off that night, all of them, for the first time.",Nup
4,"5. Two Hundred Mourners · When the ferry deckhand was stabbed outside his flat, two hundred people came to mourn him, and every one of them knew a different name, a different accent, a different wife.",Maybe a seed here for later episode
5,"6. Cover for Me · Identical twins ran the tattoo shop until one was killed there after closing, and the appointment book shows the dead man had been covering his brother's clients all that week.",Maybe a seed here for later episode
7,"7. The Man Who Saved Everyone · The lifeguard who pulled eleven swimmers from the harbour is dead, and the twelfth person he went in after has never been identified, photographed, or heard from since.",Maybe a seed here for later episode
0,"8. Four Empty Seats · Four apprentices died when the night bus went off the coast road, and the mechanic who signed it safe that morning has been paying one of their mothers, in cash, ever since.",Mechanics signing paperwork is boring
0,"9. She Drowned Twice · The ferry took her, everyone agreed, until her fingerprints appeared on a lease three years after the funeral, kept appearing for a decade, and then, last spring, stopped.",fingerprints on a lease is weak sauce!
2,"10. The Rescue Story · Everyone in the marina bar knew he'd taken her in off the streets, and when he washed up under the pier, nobody could explain why her packed suitcase had been ready for a year.",Maybe a seed here for later episode
5,"11. Four Men, One Story · Five friends owned the fishing boat that went down with one of them aboard, and the four survivors told the inquiry the same story in the same wrong order.",Maybe a seed here for later episode
6,"12. The Other Prison · A teenager was convicted of killing his stepfather with one punch, and his mother, who swore she saw it, has visited a different prison, in secret, every month for six years.",Maybe a seed here for later episode
6,"13. Trophy Season · The swim coach drowned alone in his own pool the week three of his former swimmers, now grown, came home for a reunion nobody organised.",Maybe a seed here for later episode
0,"14. The Four A.M. Loaf · The baker who left day-old bread out for the night shift was beaten to death behind his ovens, and the only thing taken was the notebook where he wrote down who owed him.",No
